time,max_A,total_A
5.0525,0.54362208389289,0.54387556648048
5.06,0.5433436723901,0.54380684078471
5.0675,0.54305791259013,0.5437381910464
5.075,0.54276483654453,0.54366961711229
5.0825,0.54246447643556,0.54360111882957
5.09,0.54215686457345,0.54353269604589
5.0975,0.54184203339367,0.54346434860932
5.105,0.54152001545426,0.54339607636843
5.1125,0.54119084343315,0.5433278791722
5.12,0.54092609811583,0.54325975687008
5.1275,0.54070082164091,0.54319170931195
5.135,0.54046815539918,0.54312373634814
5.1425,0.54022812935207,0.54305583782942
5.15,0.53998077360645,0.542988013607
5.1575,0.53972611841188,0.54292026353253
5.165,0.53946419415789,0.5428525874581
5.1725,0.53919503137118,0.54278498523622
5.18,0.53891866071299,0.54271745671984
5.1875,0.53863511297642,0.54265000176236
5.195,0.53834441908377,0.54258262021758
5.2025,0.53804661008391,0.54251531193975
5.21,0.53774171714975,0.54244807678353
5.2175,0.53745380434816,0.54238091460402
5.225,0.53721947263636,0.54231382525673
5.2325,0.53697791657807,0.54224680859759
5.24,0.53672916555173,0.54217986448297
5.2475,0.53647324907406,0.54211299276964
5.255,0.53621019679739,0.54204619331478
5.2625,0.53594003850709,0.54197946597601
5.27,0.53566280411903,0.54191281061134
5.2775,0.53537852367696,0.5418462270792
5.285,0.53508722735006,0.54177971523843
5.2925,0.53478894543039,0.54171327494828
5.3,0.53448370833045,0.54164690606841
5.3075,0.53417154658074,0.54158060845887
5.315,0.53385249082731,0.54151438198014
5.3225,0.53363450550838,0.54144822649306
5.33,0.53341539842158,0.54138214185893
5.3375,0.53318917601142,0.54131612793939
5.345,0.53295586637977,0.54125018459651
5.3525,0.53271549776712,0.54118431169275
5.36,0.53246809855013,0.54111850909098
5.3675,0.53221369723906,0.54105277665442
5.375,0.53195232247538,0.54098711424673
5.3825,0.53168400302921,0.54092152173192
5.39,0.53140876779698,0.54085599897443
5.3975,0.53112664579898,0.54079054583904
5.405,0.53083766617699,0.54072516219096
5.4125,0.53054185819192,0.54065984789575
5.42,0.53029036758689,0.54059460281937
5.4275,0.53006248058758,0.54052942682817
5.435,0.52982763315787,0.54046431978884
5.4425,0.5295858528795,0.5403992815685
5.45,0.52933716746617,0.54033431203462
5.4575,0.52908160476125,0.54026941105503
5.465,0.52881919273533,0.54020457849797
5.4725,0.52854995948396,0.54013981423203
5.48,0.52827393322526,0.54007511812618
5.4875,0.52799114229766,0.54001049004974
5.495,0.5277016151576,0.53994592987243
5.5025,0.52740538037731,0.53988143746431
5.51,0.52710246664254,0.53981701269583
5.5175,0.52682476353223,0.53975265543778
5.525,0.52661834331259,0.53968836556133
5.5325,0.52640503841699,0.539624142938
5.54,0.52618487512036,0.53955998743969
5.5475,0.52595787983224,0.53949589893862
5.555,0.5257240790944,0.53943187730741
5.5625,0.52548349957858,0.53936792241902
5.57,0.52523616808422,0.53930403414676
5.5775,0.52498211153615,0.53924021236429
5.585,0.52472135698238,0.53917645694564
5.5925,0.5244539315919,0.53911276776517
5.6,0.52417986265246,0.5390491446976
5.6075,0.52389917756841,0.53898558761801
5.615,0.5236119038585,0.53892209640181
5.6225,0.5233943075401,0.53885867092476
5.63,0.52317248393158,0.53879531106296
5.6375,0.52294394724219,0.53873201669287
5.645,0.52270872341613,0.53866878769127
5.6525,0.52246683852374,0.53860562393529
5.66,0.5222183187593,0.53854252530242
5.6675,0.52196319043888,0.53847949167045
5.675,0.52170147999816,0.53841652291753
5.6825,0.52143321399035,0.53835361892214
5.69,0.52115841908411,0.53829077956311
5.6975,0.52087712206138,0.53822800471958
5.705,0.52058934981541,0.53816529427102
5.7125,0.52029512934869,0.53810264809726
5.72,0.5200615290164,0.53804006607844
5.7275,0.5198603324626,0.53797754809502
5.735,0.51965249375517,0.5379150940278
5.7425,0.51943803763068,0.53785270375791
5.75,0.51921698895408,0.5377903771668
5.7575,0.51898937271654,0.53772811413624
5.765,0.51875521403337,0.53766591454832
5.7725,0.51851453814195,0.53760377828545
5.78,0.51826737039962,0.53754170523039
5.7875,0.51801373628169,0.53747969526617
5.795,0.51775366137936,0.53741774827617
5.8025,0.51748717139771,0.53735586414409
5.81,0.51721429215376,0.53729404275392
5.8175,0.51695865594865,0.53723228399
5.825,0.51674905175944,0.53717058773694
5.8325,0.51653294241844,0.53710895387969
5.84,0.51631035225074,0.53704738230352
5.8475,0.51608130570402,0.53698587289398
5.855,0.5158458273465,0.53692442553696
5.8625,0.51560394186497,0.53686304011863
5.87,0.51535567406283,0.53680171652548
5.8775,0.51510104885806,0.53674045464431
5.885,0.51484009128137,0.53667925436221
5.8925,0.5145728264742,0.53661811556659
5.9,0.51429927968684,0.53655703814515
5.9075,0.51401947627655,0.5364960219859
5.915,0.51373344170566,0.53643506697715
5.9225,0.51354097092754,0.53637417300749
5.93,0.51334470447888,0.53631333996582
5.9375,0.51314202372903,0.53625256774136
5.945,0.51293295200683,0.53619185622359
5.9525,0.51271751276363,0.5361312053023
5.96,0.5124957295714,0.53607061486758
5.9675,0.51226762612071,0.5360100848098
5.975,0.51203322621893,0.53594961501963
5.9825,0.51179255378825,0.53588920538802
5.99,0.51154563286382,0.53582885580624
5.9975,0.51129248759192,0.5357685661658
6.005,0.51103314222808,0.53570833635854
6.0125,0.51076762113527,0.53564816627657
6.02,0.51054388933041,0.53558805581228
6.0275,0.51033945914648,0.53552800485835
6.035,0.510128743639,0.53546801330774
6.0425,0.50991176576715,0.53540808105371
6.05,0.50968854860725,0.53534820798978
6.0575,0.50945911535098,0.53528839400976
6.065,0.50922348930346,0.53522863900774
6.0725,0.50898169388151,0.53516894287807
6.08,0.50873375261182,0.53510930551542
6.0875,0.50847968912915,0.53504972681469
6.095,0.50821952717459,0.53499020667109
6.1025,0.50795329059378,0.53493074498007
6.11,0.50768100333518,0.5348713416374
6.1175,0.50743402373899,0.53481199653909
6.125,0.50724863917237,0.53475270958142
6.1325,0.5070570328243,0.53469348066096
6.14,0.50685922661325,0.53463430967453
6.1475,0.5066552425766,0.53457519651924
6.155,0.50644510286872,0.53451614109244
6.1625,0.50622882975929,0.53445714329179
6.17,0.50600644563145,0.53439820301517
6.1775,0.50577797298008,0.53433932016075
6.185,0.50554343441006,0.53428049462697
6.1925,0.50530285263453,0.53422172631251
6.2,0.50505625047318,0.53416301511633
6.2075,0.50480365085058,0.53410436093765
6.215,0.50454507679443,0.53404576367595
6.2225,0.50435120031173,0.53398722323096
6.23,0.50415166209284,0.53392873950268
6.2375,0.50394604563435,0.53387031239138
6.245,0.50373437264082,0.53381194179755
6.2525000000001,0.50351666492889,0.53375362762197
6.2600000000001,0.50329294442557,0.53369536976567
6.2675000000001,0.50306323316658,0.53363716812991
6.2750000000001,0.50282755329465,0.53357902261624
6.2825000000001,0.50258592705785,0.53352093312644
