time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
5.775e-10,3.7002402837936e-32,9.4513231069843e-48,1.2226852450469e-13,-3.3685817662103e-06,0.0041969926093908,9.2891997976093e-48,-0.000926776633386,4.5025253732747e-19,-2.6164649966901e-32,1.0648504864539e-46,-8.5348592804394e-33,-1.210049828359e-13,7.5318628074085e-08
5.8e-10,9.2621428860336e-33,4.8099168798305e-48,1.8993732696068e-13,-3.3716737391872e-06,0.0043633455031808,-4.7446262584392e-48,-0.00076258940778186,-6.2065110826876e-19,6.5493240430331e-33,1.0005177005382e-45,-3.7264587957959e-32,-1.8739098326855e-13,3.337771198819e-07
5.825e-10,1.380632374763e-31,6.285060713281e-47,2.7458623313979e-13,-3.3616082661745e-06,0.0045356586693603,-6.2613709859511e-47,-0.00058206379474819,-2.3999934759688e-18,9.7625451452059e-32,9.2679543353405e-46,-1.0289518134693e-31,-2.6999353913617e-13,6.215804970284e-07
5.85e-10,2.1360754758569e-31,2.1038595417607e-46,3.6938610305815e-13,-3.3373877416844e-06,0.0047141294245106,-2.0901783726254e-46,-0.0003847166018521,-3.1768707253418e-18,1.5104334541047e-31,-2.4887122784975e-45,-2.2159650823172e-31,-3.6170541775255e-13,9.4051207276746e-07
5.875e-10,5.7383762170671e-32,4.7951060294109e-46,4.5775758862942e-13,-3.2979654140617e-06,0.0048989386843307,-4.753916463884e-46,-0.00016998503585156,-2.9539152682704e-19,-4.0576447360877e-32,-7.0731597732418e-45,-3.7881574297536e-31,-4.4559463019256e-13,1.2923621543429e-06
5.9e-10,7.7448744162103e-31,7.884889018479e-46,5.0867458079038e-13,-3.2423110109005e-06,0.0050902915502669,-7.7935372050334e-46,6.2528423712983e-05,7.354618567308e-18,-5.4764532191405e-31,-1.5484996513106e-45,-4.5978775246496e-31,-4.9005090546582e-13,1.6789157130349e-06
5.925e-10,1.2473806842655e-30,7.2402511437262e-46,4.722878832942e-13,-3.1693420682289e-06,0.0052883827334881,-7.074080745443e-46,0.00031333458572146,1.5831737028237e-17,-8.8203134056523e-31,2.3090347009234e-44,-1.2551995780566e-31,-4.4340604000125e-13,2.1019437237082e-06
5.95e-10,3.5245329986369e-32,8.0530605323525e-46,2.8591818996546e-13,-3.0780088764084e-06,0.0054934213490573,8.044753278946e-46,0.00058273396116493,1.4890886038778e-17,2.4922211838519e-32,4.2261167586555e-44,1.3438558239988e-30,-2.2899665143881e-13,2.5631977836783e-06
5.975e-10,3.8013479301494e-30,5.6938923288458e-45,2.9450112587278e-13,-2.9672096394272e-06,0.0057056201149948,5.6712070120631e-45,0.00087115351124719,-6.9651048748828e-18,2.6879588990581e-30,-1.1992075553332e-44,5.1171217838352e-30,2.5765561969963e-13,3.0644063576293e-06
6e-10,7.096923238614e-30,1.6200016713965e-44,1.1480653468926e-12,-2.8358810082747e-06,0.0059251901517807,1.608997406445e-44,0.0011787866092246,-5.0129826221945e-17,5.0182825475843e-30,-1.6575561703874e-43,1.2479430570821e-29,1.1470279352549e-12,3.6072702343396e-06
6.025e-10,2.4948658490175e-30,3.2261216112435e-44,2.5899787438722e-12,-2.6829165307335e-06,0.0061523624860031,3.1962030305856e-44,0.0015059445615492,-9.0322432598297e-17,1.7641365599911e-30,-2.3944851120772e-43,2.3522984427244e-29,2.5857566436792e-12,4.1934547368714e-06
6.05e-10,1.5568231105439e-29,4.5369023937258e-44,4.7404185590513e-12,-2.507258276339e-06,0.0063873512895334,4.4758075412511e-44,0.0018527061651601,-7.7274847559824e-17,-1.1008401785735e-29,1.453622403958e-43,3.4092779660717e-29,4.7146917082297e-12,4.8245769027443e-06
6.075e-10,3.724978463559e-29,2.8560986077369e-44,7.7008339417934e-12,-2.307820606467e-06,0.0066304033118111,2.7402295657536e-44,0.0022192375750028,4.0322746518045e-17,-2.6339575313564e-29,1.0471186226682e-42,3.0484061627418e-29,7.6305383121621e-12,5.5021870405792e-06
6.1e-10,2.9151466189235e-29,7.5782217137328e-44,1.1474372576916e-11,-2.0835700086986e-06,0.0068817405602897,-7.5774956745745e-44,0.0026054953909519,2.6241582602737e-16,-2.0613199423938e-29,1.3728163971611e-42,-1.7190361390403e-29,1.1327409763459e-11,6.2277454148943e-06
6.125e-10,4.5708468570864e-29,3.4673765171429e-43,1.5883994716008e-11,-1.8334624991772e-06,0.0071416209487485,-3.4518863597238e-43,0.0030114721999418,4.8193042663785e-16,3.232076808411e-29,-9.3262032258467e-43,-1.5856049441316e-28,1.5616535994106e-11,7.0025958978286e-06
6.15e-10,1.700381747354e-28,8.4601911353691e-43,2.0472178625212e-11,-1.5564998278576e-06,0.007410281469763,-8.398478292438e-43,0.0034369904710092,4.7548558184565e-16,1.2023514641598e-28,-6.0685711532805e-42,-4.5297072505335e-28,2.0025988900565e-11,7.8279389118792e-06
6.175e-10,2.1459646302235e-28,1.4840028728169e-42,2.4389983475028e-11,-1.2517036167262e-06,0.0076879850398488,-1.4688317451948e-42,0.0038818413551139,-6.956023313756e-18,1.5174261422175e-28,-8.1250712861776e-42,-9.2763225670784e-28,2.3687866472101e-11,8.7048057299127e-06
6.2e-10,2.564653092222e-29,1.7815187285422e-42,2.6296312891191e-11,-9.1814093930923e-07,0.0079749905864306,-1.7525580786115e-42,0.0043456956860857,-1.0410573096797e-15,-1.8134835929012e-29,3.9773043717975e-42,-1.481084540975e-27,2.5227901051267e-11,9.6340353224188e-06
