time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00446,-1446183.4445489,6.6132415392559e-05,-4.0670222214103e-06,-0.00014046522004937
0.00448,-1494168.5947045,6.8455910171376e-05,-4.0924096025649e-06,-0.00014499674570204
0.0045,-1539268.0014309,7.0711846915703e-05,-4.1288086964893e-06,-0.00014918358128069
0.00452,-1582793.0662408,7.2897999277924e-05,-4.3278416345256e-06,-0.00015321529644913
0.00454,-1626182.3865025,7.5012209779507e-05,-4.5123034388986e-06,-0.00015729956036681
0.00456,-1667023.2674146,7.7052391940179e-05,-4.5518799171561e-06,-0.00016109378853571
0.00458,-1705479.4663695,7.9016532337048e-05,-4.5733012075407e-06,-0.0001646233907268
0.0046,-1743703.2316026,8.090269259161e-05,-4.7458329347434e-06,-0.0001681977696827
0.00462,-1779904.0915038,8.2709011282707e-05,-4.9294906735534e-06,-0.00017156300254005
0.00464,-1813136.4287879,8.4433705783536e-05,-4.9162958871778e-06,-0.00017458578339077
0.00466,-1845744.6849834,8.6075074020889e-05,-4.9260048843708e-06,-0.00017760273733008
0.00468,-1876885.8344831,8.7631496154904e-05,-5.1400336064301e-06,-0.00018049505232026
0.0047,-1904771.8004396,8.9101436177663e-05,-5.2528500384989e-06,-0.00018300882184943
0.00472,-1931446.9736628,9.0483443429046e-05,-5.187610477355e-06,-0.00018543755207412
0.00474,-1957109.6280941,9.177615402837e-05,-5.2787949096283e-06,-0.00018781093485083
0.00476,-1979528.5909074,9.2978292220379e-05,-5.4855481916849e-06,-0.0001898115072591
0.00478,-2000077.9365023,9.4088671634264e-05,-5.537773469653e-06,-0.00019163674873851
0.0048,-2019883.6169361,9.5106196454478e-05,-5.5711137124097e-06,-0.00019344860514383
0.00482,-2036702.7865614,9.6029862502173e-05,-5.796910892955e-06,-0.00019492767754156
0.00484,-2051038.2716612,9.6858758226215e-05,-6.1112699900251e-06,-0.00019614671001361
0.00486,-2064680.9145944,9.759206560277e-05,-6.4152559588868e-06,-0.00019736235167965
0.00488,-2075756.2861254,9.8229060942609e-05,-6.8746291382777e-06,-0.00019830755046932
0.0049,-2083869.5311183,9.8769115605295e-05,-7.691486491744e-06,-0.00019892653077045
0.00492,-2091136.5134953,9.9211696619586e-05,-8.8114835024142e-06,-0.00019952209193751
0.00494,-2096324.6649209,9.9556367209412e-05,-1.0164577825416e-05,-0.00019991858587114
0.00496,-2098263.0124248,9.9802787224922e-05,-1.2019774215975e-05,-0.00019994907078647
0.00498,-2099044.5161087,9.9950713478175e-05,-1.453483514406e-05,-0.00019991278786616
0.005,-2098220.3218065,9.9999999983134e-05,-1.7441154957534e-05,-0.00019974576116062
0.00502,-2094067.9016198,9.9950598099744e-05,-2.0690999731026e-05,-0.0001992019602199
0.00504,-2088356.2381135,9.9802556581926e-05,-2.4463559475238e-05,-0.00019853404798028
0.00506,-2081431.9673797,9.9556021529469e-05,-2.8440336919788e-05,-0.00019779140142451
0.00508,-2071297.471109,9.9211236243841e-05,-3.2188155487996e-05,-0.00019668840332543
0.0051,-2059179.1225481,9.8768540988086e-05,-3.5741899639777e-05,-0.00019539990602266
0.00512,-2046121.4772548,9.8228372651016e-05,-3.9045014712422e-05,-0.00019407469471023
0.00514,-2030132.6414953,9.7591264316058e-05,-4.1799721204279e-05,-0.00019242768355038
0.00516,-2011776.0378489,9.685784473516e-05,-4.4111222336144e-05,-0.00019053873288876
0.00518,-1992618.9894566,9.6028837708286e-05,-4.6367023642177e-05,-0.00018863101883109
0.0052,-1970922.6585012,9.5105061369109e-05,-4.8715156084433e-05,-0.00018645531766526
0.00522,-1946564.3839726,9.4087427377613e-05,-5.120344695988e-05,-0.00018399319801922
0.00524,-1921416.8855684,9.2976940020381e-05,-5.3995326478449e-05,-0.00018151118719965
0.00526,-1894182.9616243,9.1774695219491e-05,-5.7104657661525e-05,-0.00017882287159403
