time,avg_stress_xx,disp_x_left,disp_x_right
0.00464,-203691.02250928,3.0439189556343e-05,2.0254638447587e-05
0.00466,-202511.83788399,3.0380657853689e-05,2.0255065926414e-05
0.00468,-201628.2163918,3.0336121976886e-05,2.025471113811e-05
0.0047,-201327.78854947,3.0320974774062e-05,2.0254585383652e-05
0.00472,-201497.67964597,3.0329908673955e-05,2.0255024714802e-05
0.00474,-201928.88587022,3.0351231775383e-05,2.0254787441021e-05
0.00476,-202448.35835882,3.0376967576074e-05,2.0254549629428e-05
0.00478,-202873.56020335,3.0398669530076e-05,2.0254991562621e-05
0.0048,-203165.39401907,3.0413128275717e-05,2.0254858608745e-05
0.00482,-203250.74023297,3.0417045718236e-05,2.0254508663522e-05
0.00484,-202941.64541245,3.0402034207862e-05,2.0254951899313e-05
0.00486,-202373.42044789,3.0373619741756e-05,2.0254948762745e-05
0.00488,-201949.97016002,3.0351967593897e-05,2.0254469127406e-05
0.0049,-201925.07178367,3.0351132950189e-05,2.0254879317359e-05
0.00492,-202351.7423605,3.0372648167561e-05,2.0255061003969e-05
0.00494,-202931.74895693,3.0401045558969e-05,2.0254458153842e-05
0.00496,-203122.97633974,3.041090613322e-05,2.0254757365483e-05
0.00498,-202822.27775994,3.0396288009481e-05,2.025517408086e-05
0.005,-202384.63068246,3.0373737239124e-05,2.025450565343e-05
0.00502,-202120.05332562,3.0360594490199e-05,2.0254591862629e-05
0.00504,-202230.64482772,3.0366784127724e-05,2.0255251939472e-05
0.00506,-202633.57696122,3.0386306605913e-05,2.0254627720309e-05
0.00508,-202885.54772492,3.0398688652893e-05,2.0254411211496e-05
0.0051,-202781.16441201,3.0394317364949e-05,2.0255259180494e-05
0.00512,-202514.21819779,3.0380528458802e-05,2.0254817606433e-05
0.00514,-202296.8293287,3.0369098372792e-05,2.0254256872604e-05
0.00516,-202329.45799338,3.0371647981982e-05,2.0255175023059e-05
0.00518,-202618.15886405,3.0385954561612e-05,2.0255046649293e-05
0.0052,-202789.4888355,3.039364410211e-05,2.0254169720549e-05
0.00522,-202645.56155497,3.0387278581144e-05,2.0255000475258e-05
0.00524,-202437.14510241,3.0377130001603e-05,2.0255272685335e-05
0.00526,-202395.59602162,3.0373958118426e-05,2.0254178342377e-05
0.00528,-202524.69777598,3.0380992641958e-05,2.025475781533e-05
0.0053,-202666.99652638,3.0388800923479e-05,2.0255451076286e-05
0.00532,-202626.63054053,3.0385623953693e-05,2.0254292364221e-05
0.00534,-202482.14872836,3.0378592288229e-05,2.0254484867831e-05
0.00536,-202479.91479338,3.0379540501534e-05,2.0255544823331e-05
0.00538,-202583.92983417,3.0383697336306e-05,2.0254500833189e-05
0.0054,-202590.46826039,3.0383749963327e-05,2.0254226490531e-05
0.00542,-202511.45617065,3.0381104949868e-05,2.0255532148532e-05
0.00544,-202508.92803552,3.038022156077e-05,2.0254775216917e-05
0.00546,-202597.2856647,3.0383889386074e-05,2.025402510007e-05
0.00548,-202607.4154882,3.0385780920339e-05,2.0255410090455e-05
0.0055,-202496.12768602,3.0379882727623e-05,2.0255076341372e-05
0.00552,-202460.04964707,3.0376915598149e-05,2.0253913156384e-05
0.00554,-202575.9279453,3.0383990388894e-05,2.0255193964167e-05
0.00556,-202657.5547243,3.0388241623783e-05,2.025536381676e-05
0.00558,-202567.9191826,3.0382308189905e-05,2.0253912248398e-05
0.0056,-202425.87942373,3.0376213973728e-05,2.0254920086064e-05
0.00562,-202472.4743227,3.0379240337673e-05,2.0255616622887e-05
0.00564,-202670.77539227,3.0387598249163e-05,2.0254059402649e-05
0.00566,-202659.14140359,3.038765163478e-05,2.0254694553045e-05
0.00568,-202432.54078487,3.037757016101e-05,2.0255943184613e-05
0.0057,-202415.95815478,3.0375404675245e-05,2.0254606778961e-05
0.00572,-202609.50583818,3.038552846301e-05,2.0255053118931e-05
0.00574,-202634.10179078,3.0388946769225e-05,2.0257241667223e-05
0.00576,-202470.70883267,3.0380713375612e-05,2.0257177981471e-05
0.00578,-202342.98532453,3.0376079701972e-05,2.0258930463377e-05
0.0058,-202340.09331017,3.038149845076e-05,2.0264493749387e-05
0.00582,-202351.36011158,3.0387677183087e-05,2.0270109135017e-05
0.00584,-202089.5879527,3.0384528038368e-05,2.02800486635e-05
0.00586,-201550.9966963,3.0377095456151e-05,2.0299545666595e-05
0.00588,-201039.16311828,3.0379214716674e-05,2.0327256537916e-05
0.0059,-200342.09071886,3.0386639174798e-05,2.0369534602673e-05
0.00592,-198953.05923097,3.0384855603704e-05,2.0437202700978e-05
0.00594,-196887.0216179,3.0378925145384e-05,2.0534574138841e-05
0.00596,-194150.10424291,3.038002464619e-05,2.0672519397359e-05
0.00598,-190298.54184164,3.0383864513248e-05,2.0868937367188e-05
0.006,-184994.13836834,3.0384168284298e-05,2.11344614215e-05
